runId,time,actor,target,eventType,actionType,damage,distance,bossHP,playerHP,extra
1775584035,0.0,,,RunStarted,,0,10.0,100,100,
1775584035,0.0,Boss,,Action,WalkForwardLeft,0,10.0,100,100,
1775584035,0.0833,Boss,,Action,WalkForwardRight,0,9.8711,100,100,
1775584035,0.1667,Boss,,Action,WalkForwardLeft,0,9.7412,100,100,
1775584035,0.3333,Boss,,Action,WalkForward,0,9.4838,100,100,
1775584035,0.4167,Boss,,Action,WalkForwardLeft,0,9.3171,100,100,
1775584035,0.5,Boss,,Action,Sprint,0,9.1892,100,100,
1775584035,0.5833,Boss,,Action,StrafeRight,0,8.7726,100,100,
1775584035,0.6667,Boss,,Action,WalkForwardLeft,0,8.7726,100,100,
1775584035,0.75,Boss,,Action,Sprint,0,8.6429,100,100,
1775584035,0.8333,Boss,,Action,WalkForward,0,8.2262,100,100,
1775584035,0.9167,Boss,,Action,WalkForwardLeft,0,8.0596,100,100,
1775584035,1.0,Boss,,Action,RunForward,0,7.9311,100,100,
1775584035,1.0833,Boss,,Action,WalkForward,0,7.6394,100,100,
1775584035,1.1667,Boss,,Action,WalkForwardRight,0,7.4728,100,100,
1775584035,1.25,Boss,,Action,StrafeRight,0,7.3436,100,100,
1775584035,1.3333,Boss,,Action,WalkForwardRight,0,7.3465,100,100,
1775584035,1.4167,Boss,,Action,WalkForwardLeft,0,7.2204,100,100,
1775584035,1.5833,Boss,,Action,WalkForward,0,6.96,100,100,
1775584035,1.75,Boss,,Action,WalkForwardLeft,0,6.6267,100,100,
1775584035,1.9167,Boss,,Action,Sprint,0,6.4986,100,100,
1775584035,2.0,Boss,,Action,WalkForwardLeft,0,6.0446,100,100,
1775584035,2.0833,Boss,,Action,WalkBackward,0,5.7631,100,100,
1775584035,2.1667,Boss,,Action,WalkForward,0,5.6856,100,100,
1775584035,2.25,Boss,,Action,WalkForwardLeft,0,5.2483,100,100,
1775584035,2.5,Boss,,Action,RunForward,0,4.1929,100,100,
1775584035,2.6667,Boss,,Action,WalkForward,0,3.2502,100,100,
1775584035,2.75,Boss,,Action,StrafeLeft,0,2.7556,100,100,
1775584035,2.9167,Boss,Player,AttackAttempt,AttackTwoHand,0,2.0945,100,100,
1775584035,3.65,Boss,Player,DamageTaken,BossAttack:AttackTwoHand,5,0.8639,100,95,
1775584035,3.65,Boss,Player,AttackHit,AttackTwoHand,5,0.8639,100,95,
1775584035,4.35,Boss,,Action,WalkForwardLeft,0,0.875,100,95,
1775584035,4.4167,Boss,Player,AttackAttempt,AttackOneHand,0,0.8691,100,95,
1775584035,4.4667,Player,Boss,DamageTaken,InvectorLight,2,0.8669,98,95,
1775584035,4.7,Boss,Player,DamageTaken,BossAttack:AttackOneHand,3,0.8687,98,92,
1775584035,4.7,Boss,Player,AttackHit,AttackOneHand,3,0.8687,98,92,
1775584035,5.3167,Boss,,Action,RollBackward,0,0.875,98,92,
1775584035,6.0333,Boss,,Action,Sprint,0,4.8222,98,92,
1775584035,6.0833,Boss,,Action,WalkForwardLeft,0,4.4357,98,92,
1775584035,6.25,Boss,,Action,WalkForwardRight,0,3.7532,98,92,
1775584035,6.3333,Boss,,Action,Sprint,0,3.3184,98,92,
1775584035,6.4167,Boss,,Action,WalkForwardLeft,0,2.5875,98,92,
1775584035,6.5,Boss,,Action,WalkForwardRight,0,2.1358,98,92,
1775584035,6.5833,Boss,,Action,StrafeRight,0,1.6915,98,92,
1775584035,6.6667,Boss,,Action,WalkForwardLeft,0,1.4057,98,92,
1775584035,6.75,Boss,,Action,StrafeRight,0,0.9485,98,92,
1775584035,6.8333,Boss,Player,AttackAttempt,AttackOneHand,0,0.8772,98,92,
1775584035,6.9167,Player,Boss,DamageTaken,InvectorLight,2,0.8682,96,92,
1775584035,7.1167,Boss,Player,DamageTaken,BossAttack:AttackOneHand,3,0.8661,96,89,
1775584035,7.1167,Boss,Player,AttackHit,AttackOneHand,3,0.8661,96,89,
1775584035,7.7333,Boss,,Action,WalkForwardLeft,0,0.873,96,89,
1775584035,7.75,Boss,,Action,StrafeLeft,0,0.8665,96,89,
1775584035,7.8333,Boss,,Action,WalkForwardRight,0,0.8708,96,89,
1775584035,7.9167,Boss,,Action,WalkForwardLeft,0,0.8646,96,89,
1775584035,8.1667,Boss,,Action,StrafeRight,0,0.8697,96,89,
1775584035,8.25,Boss,,Action,WalkForwardRight,0,0.9317,96,89,
1775584035,8.3333,Boss,Player,AttackAttempt,AttackTwoHand,0,0.9771,96,89,
1775584035,9.1,Boss,Player,DamageTaken,BossAttack:AttackTwoHand,5,1.3554,96,84,
1775584035,9.1,Boss,Player,AttackHit,AttackTwoHand,5,1.3554,96,84,
1775584035,9.6333,Boss,Player,AttackAttempt,AttackTwoHand,0,3.1384,96,84,
1775584035,10.4333,Boss,Player,DamageTaken,BossAttack:AttackTwoHand,5,1.3383,96,79,
1775584035,10.4333,Boss,Player,AttackHit,AttackTwoHand,5,1.3383,96,79,
1775584035,10.9333,Boss,Player,AttackAttempt,AttackOneHand,0,2.3725,96,79,
1775584035,11.6032,Boss,Player,AttackMiss,AttackOneHand,0,2.7058,96,79,
1775584035,11.8833,Boss,Player,AttackAttempt,PunchLeft,0,1.7315,96,79,
1775584035,12.1,Player,Boss,DamageTaken,InvectorLight,2,0.8733,94,79,
1775584035,12.4833,Player,Boss,DamageTaken,InvectorLight,2,0.8731,92,79,
1775584035,12.6333,Boss,Player,DamageTaken,BossAttack:PunchLeft,2,0.875,92,77,
1775584035,12.6333,Boss,Player,AttackHit,PunchLeft,2,0.875,92,77,
